*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	arkadismus	arkadizmus
hrana	arsen	arzen
hrana	arsenace	arzenace
hrana	arsenan	arzenan
hrana	arsenid	arzenid
hrana	arsenik	arzenik
hrana	arsenitan	arzenitan
hrana	arsenitost	arzenitost
hrana	arsenitý	arzenitý
hrana	arseničitost	arzeničitost
hrana	arseničitý	arzeničitý
hrana	arseničitě	arzeničitě
hrana	arseničnan	arzeničnan
hrana	arseničnost	arzeničnost
hrana	arseničný	arzeničný
hrana	arseničně	arzeničně
hrana	arsenopyrit	arzenopyrit
hrana	arsenovodík	arzenovodík
hrana	artificialismus	artificializmus
hrana	artismus	artizmus
hrana	arylmagnesiumhalogenid	arylmagneziumhalogenid
hrana	asbest	azbest
hrana	asianismus	asianizmus
hrana	askese	askeze
hrana	asketismus	asketizmus
hrana	asocianismus	asocianizmus
hrana	astigmatismus	astigmatizmus
hrana	astrofysika	astrofyzika
hrana	asyl	azyl
hrana	asylovost	azylovost
hrana	asylový	azylový
hrana	asylově	azylově
hrana	asynchronismus	asynchronizmus
hrana	atavismus	atavizmus
hrana	ateismus	ateizmus
hrana	atomismus	atomizmus
hrana	atticismus	atticizmus
hrana	augustinismus	augustinizmus
hrana	austriacismus	austriacizmus
hrana	austromarxismus	austromarxizmus
hrana	austroslavismus	austroslavizmus
hrana	autismus	autizmus
hrana	autocensura	autocenzura
hrana	autokratismus	autokratizmus
hrana	autokurs	autokurz
hrana	automatisace	automatizace
hrana	automatisační	automatizační
hrana	automatisačně	automatizačně
hrana	automatismus	automatizmus
hrana	automatisovací	automatizovací
hrana	automatisovanost	automatizovanost
hrana	automatisovaný	automatizovaný
