*slova podobně krátká jako rodič, ale začínají na jiné písmeno
*jedna skupina: seznam hran, které vypadají vachrlatě
*přebývá hrana	zkoumané slovo	roidč
přebývá hrana	výstraha	stražit
přebývá hrana	prostřih	střihat
přebývá hrana	ústřižek	ustříhnout
přebývá hrana	vystříhat	stříhnout
přebývá hrana	dostřik	stříkat
přebývá hrana	nástřik	stříkat
přebývá hrana	obstřik	stříkat
přebývá hrana	osychat	schnout
přebývá hrana	zasychat	vyschnout
přebývá hrana	vsuchu	sucho
přebývá hrana	přísuv	sunout
přebývá hrana	zasout	sunout
přebývá hrana	osvobodit	svobodný
přebývá hrana	podsvit	svítit
přebývá hrana	přísvit	svítit
přebývá hrana	úsvit	svítit
přebývá hrana	zasvé	svůj
přebývá hrana	nesympatie	sympathie
přebývá hrana	osyp	sypat
přebývá hrana	osypky	sypat
přebývá hrana	podsyp	sypat
přebývá hrana	výspa	sypat
přebývá hrana	úsilí	síla
přebývá hrana	osev	sít
přebývá hrana	netáhlo	tahnout
přebývá hrana	ztenka	tenký
přebývá hrana	otep	tepat
přebývá hrana	útes	tesat
přebývá hrana	zátiší	ticho
přebývá hrana	zticha	ticho
přebývá hrana	úkos	tik
přebývá hrana	nátisk	tisknout
přebývá hrana	přítisk	tisknout
přebývá hrana	stiskat	tisknout
přebývá hrana	útisk	utiskovat
přebývá hrana	vtiskat	tisknout
přebývá hrana	tečna	dotknout
přebývá hrana	vytýkat	tknout
přebývá hrana	zatýkat	tknout
přebývá hrana	zátka	tknout
přebývá hrana	utkvět	tkvít
přebývá hrana	utkat	tkát
přebývá hrana	otlak	tlačit
přebývá hrana	potlač	tlačit
přebývá hrana	útlum	utlumit
přebývá hrana	otop	topit
přebývá hrana	útrata	utratit
přebývá hrana	podtrh	trhat
přebývá hrana	útržek	utrhnout
přebývá hrana	potrubí	trouba
přebývá hrana	útrpný	utrpět
přebývá hrana	otrapa	trápit
přebývá hrana	útrapa	trápit
přebývá hrana	potrava	trávit
přebývá hrana	vocaď	odsud
přebývá hrana	vocuď	odsud
přebývá hrana	vocáď	odsud
přebývá hrana	vodcuď	odsud
přebývá hrana	vodsuď	odsud
přebývá hrana	vodtaď	odsud
přebývá hrana	vodtud	odsud
přebývá hrana	vodtuď	odsud
přebývá hrana	utuchat	tuchnout
přebývá hrana	zatouchat	tuchnout
přebývá hrana	ztuha	tuhý
přebývá hrana	potok	téct
přebývá hrana	stoka	téct
přebývá hrana	útek	utéct
přebývá hrana	útěk	utéct
přebývá hrana	outěk	útěk
přebývá hrana	útěcha	utěšit
přebývá hrana	stíží	teze
přebývá hrana	ztěžka	těžko
přebývá hrana	ztěží	těžký
přebývá hrana	otřep	třepat
přebývá hrana	střapec	třepit
přebývá hrana	ouško	ucho
přebývá hrana	úchvat	uchvátit
přebývá hrana	úchvatný	uchvátit
přebývá hrana	úcta	uctít
přebývá hrana	ctít	úcta
přebývá hrana	čest	ctít
přebývá hrana	úder	udeřit
přebývá hrana	úderka	udeřit
přebývá hrana	úleva	ulevit
přebývá hrana	únava	unavit
přebývá hrana	únik	uniknout
přebývá hrana	úpad	upadnout
přebývá hrana	oupad	úpad
přebývá hrana	úpadce	upadnout
přebývá hrana	úpadek	upadnout
přebývá hrana	úpadní	upadnout
přebývá hrana	úzus	usus
přebývá hrana	nedouk	doučit
přebývá hrana	úča	učitelka
přebývá hrana	nevadlec	vadnout
přebývá hrana	povadat	vadnout
přebývá hrana	uvadat	vadnout
přebývá hrana	podval	valit
přebývá hrana	úval	uvalit
přebývá hrana	ouval	úval
přebývá hrana	svářet	vařit
přebývá hrana	povel	velet
přebývá hrana	zvlhat	velhat
přebývá hrana	weltr	velter
přebývá hrana	zvenka	venek
přebývá hrana	zvenku	venek
přebývá hrana	zvenčí	venek
přebývá hrana	dopolovic	polovice
přebývá hrana	napolovic	polovice
přebývá hrana	ověs	viset
přebývá hrana	svislý	viset
přebývá hrana	oběsit	věšet
přebývá hrana	ovládat	vládnout
přebývá hrana	převládat	vládnout
přebývá hrana	zavládat	vládnout
přebývá hrana	zvládat	vládnout
přebývá hrana	obléct	vléct
