*geografické pojmy začínající velkým písmenem, které mají identické slovo v derinetu začínající malým písmenem a nejsou k sobě připojeni
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Koráb	koráb
chybí hrana	Kos	kos
chybí hrana	Kosice	kosice
chybí hrana	Kosmo	kosmo
chybí hrana	Kostel	kostel
chybí hrana	Kostelní	kostelní
chybí hrana	Kostelík	kostelík
chybí hrana	Kostelíček	kostelíček
chybí hrana	Kostice	kostice
chybí hrana	Kosíř	kosíř
chybí hrana	Kotel	kotel
chybí hrana	Kotlina	kotlina
chybí hrana	Kotovice	kotovice
chybí hrana	Koupě	koupě
chybí hrana	Kout	kout
chybí hrana	Kovanec	kovanec
chybí hrana	Kozinec	kozinec
chybí hrana	Kozlovka	kozlovka
chybí hrana	Kozlovice	kozlovice
chybí hrana	Kozák	kozák
chybí hrana	Kozí	kozí
chybí hrana	Kočí	kočí
chybí hrana	Kořen	kořen
chybí hrana	Kořenice	kořenice
chybí hrana	Košík	košík
chybí hrana	Kraslice	kraslice
chybí hrana	Kratochvíle	kratochvíle
chybí hrana	Kreml	kreml
chybí hrana	Krkavec	krkavec
chybí hrana	Kroužek	kroužek
chybí hrana	Kruh	kruh
chybí hrana	Krupice	krupice
chybí hrana	Krupka	krupka
chybí hrana	Krušec	krušec
chybí hrana	Království	království
chybí hrana	Krámy	krámy
chybí hrana	Krásnice	krásnice
chybí hrana	Krásno	krásno
chybí hrana	Krčák	krčák
chybí hrana	Kuba	kuba
chybí hrana	Kuchař	kuchař
chybí hrana	Kuklík	kuklík
chybí hrana	Kuks	kuks
chybí hrana	Kunda	kunda
chybí hrana	Kuní	kuní
chybí hrana	Kuří	kuří
chybí hrana	Květnice	květnice
chybí hrana	Kyselka	kyselka
chybí hrana	Kámen	kámen
chybí hrana	Káraný	káraný
chybí hrana	Křemenec	křemenec
chybí hrana	Křeč	křeč
chybí hrana	Křivice	křivice
chybí hrana	Křivina	křivina
chybí hrana	Křižovatka	křižovatka
chybí hrana	Křoví	křoví
chybí hrana	Křtiny	křtiny
chybí hrana	Křída	křída
chybí hrana	Kříženec	kříženec
chybí hrana	Křížovnice	křížovnice
chybí hrana	Labiště	labiště
chybí hrana	Labuť	labuť
chybí hrana	Lada	lada
chybí hrana	Lamač	lamač
chybí hrana	Lapač	lapač
chybí hrana	Lavice	lavice
chybí hrana	Lazy	lazy
chybí hrana	Lednice	lednice
chybí hrana	Lenora	lenora
chybí hrana	Leptač	leptač
chybí hrana	Lesnice	lesnice
chybí hrana	Lesík	lesík
chybí hrana	Letohrad	letohrad
chybí hrana	Level	level
chybí hrana	Levice	levice
chybí hrana	Lhůta	lhůta
chybí hrana	Libosad	libosad
chybí hrana	Ligrus	ligrus
chybí hrana	Liman	liman
chybí hrana	Limerick	limerick
chybí hrana	Lipnice	lipnice
chybí hrana	Lipůvka	lipůvka
chybí hrana	List	list
chybí hrana	Liščí	liščí
chybí hrana	Lochkov	lochkov
chybí hrana	Loděnice	loděnice
chybí hrana	Lojovice	lojovice
chybí hrana	Loktuše	loktuše
chybí hrana	Lom	lom
chybí hrana	Lomeček	lomeček
chybí hrana	Loubí	loubí
chybí hrana	Louka	louka
chybí hrana	Loučka	loučka
chybí hrana	Ludlow	ludlow
chybí hrana	Luh	luh
chybí hrana	Luka	luka
chybí hrana	Lučiště	lučiště
chybí hrana	Lysec	lysec
chybí hrana	Láz	láz
chybí hrana	Lázně	lázně
chybí hrana	Léno	léno
chybí hrana	Líní	líní
chybí hrana	Líně	líně
chybí hrana	Lípa	lípa
chybí hrana	Lipka	lipka
chybí hrana	Líska	líska
chybí hrana	Lískovice	lískovice
chybí hrana	Líšeň	líšeň
chybí hrana	Maastricht	maastricht
chybí hrana	Malacky	malacky
chybí hrana	Malta	malta
chybí hrana	Mamba	mamba
chybí hrana	Marathón	marathón
chybí hrana	Marsala	marsala
chybí hrana	Masaryčka	masaryčka
chybí hrana	Maskara	maskara
chybí hrana	Mateřinec	mateřinec
chybí hrana	Medina	medina
chybí hrana	Medník	medník
chybí hrana	Medvědice	medvědice
chybí hrana	Medvědín	medvědín
chybí hrana	Mega	mega
chybí hrana	Meseta	meseta
chybí hrana	Mez	mez
chybí hrana	Mezihoří	mezihoří
chybí hrana	Meziříčí	meziříčí
chybí hrana	Mezný	mezný
