*přídavná jména končící na 'ův', která nejsou připojena ke slovu mužského rodu
*varianta	zkoumané slovo	nalezené slovo
chybí hrana	benjaminův	benjamin
chybí hrana	benjaminkův	benjaminek
chybí hrana	Benáčkův	Benáček
chybí hrana	Beníčkův	Beníček
chybí hrana	Benýškův	Benýšek
chybí hrana	Benčkův	Benček
chybí hrana	Beraův	Bera
chybí hrana	Berankův	Beranek
chybí hrana	berdychovcův	berdychovec
chybí hrana	Bereutrův	Bereuter
chybí hrana	Bergssonův	Bergsson
chybí hrana	Berhaltrův	Berhalter
chybí hrana	Berkopcův	Berkopec
chybí hrana	Berkovcův	Berkovec
chybí hrana	Bernanosův	Bernanos
chybí hrana	Bernatzkův	Bernatzek
chybí hrana	Berningrův	Berninger
chybí hrana	Bernádkův	Bernádek
chybí hrana	Bernátkův	Bernátek
chybí hrana	Bernáčkův	Bernáček
chybí hrana	Bernáškův	Bernášek
chybí hrana	Berníčkův	Berníček
chybí hrana	Berouskův	Berousek
chybí hrana	Berouškův	Beroušek
chybí hrana	Berroův	Berroa
chybí hrana	Bertoiův	Bertoia
chybí hrana	Bessrův	Besser
chybí hrana	Bestrův	Bester
chybí hrana	Betheův	Bethe
chybí hrana	Betroncův	Betronec
chybí hrana	Beumrův	Beumer
chybí hrana	Beveridgeův	Beveridge
chybí hrana	Bezdíčkův	Bezdíček
chybí hrana	Bezkův	Bezek
chybí hrana	Bezemkův	Bezemek
chybí hrana	Bezosův	Bezos
chybí hrana	Bezpalcův	Bezpalec
chybí hrana	Beščcův	Beščec
chybí hrana	Bežíčkův	Bežíček
chybí hrana	Biagiův	Biagi
chybí hrana	Bialkův	Bialek
chybí hrana	Bickův	Bicek
chybí hrana	Bidziliův	Bidzilia
chybí hrana	Biebighausrův	Biebighauser
chybí hrana	Bielohlawkův	Bielohlawek
chybí hrana	Bienkův	Bienek
chybí hrana	Bigliův	Biglia
chybí hrana	Biječkův	Biječek
chybí hrana	Bilíčkův	Bilíček
chybí hrana	Binovcův	Binovec
chybí hrana	Biolkův	Biolek
chybí hrana	Birbaumrův	Birbaumer
chybí hrana	Birtkův	Birtek
chybí hrana	Biskův	Bisek
chybí hrana	Biskupcův	Biskupec
chybí hrana	Bitsiosův	Bitsios
chybí hrana	Biyův	Biya
chybí hrana	Bizosův	Bizos
chybí hrana	Bičánkův	Bičánek
chybí hrana	Biňovcův	Biňovec
chybí hrana	Bjalkův	Bjalek
chybí hrana	Bjačkův	Bjaček
chybí hrana	Björkův	Björek
chybí hrana	Blahoudkův	Blahoudek
chybí hrana	Blahouškův	Blahoušek
chybí hrana	Blahovcův	Blahovec
chybí hrana	Blahunkův	Blahunek
chybí hrana	Blahuškův	Blahušek
chybí hrana	Blaháčkův	Blaháček
chybí hrana	Blahůnkův	Blahůnek
chybí hrana	Blahůškův	Blahůšek
chybí hrana	blairovcův	blairovec
chybí hrana	Blakeův	Blake
chybí hrana	Blastrův	Blaster
chybí hrana	Blazkův	Blazek
chybí hrana	Blažíčkův	Blažíček
chybí hrana	Blažencův	Blaženec
chybí hrana	Blažkovcův	Blažkovec
chybí hrana	Blažkův	Blažek
chybí hrana	Blikův	Bliek
chybí hrana	Blodkův	Blodek
chybí hrana	Blookrův	Blooker
chybí hrana	Bloudkův	Bloudek
chybí hrana	Bloudílkův	Bloudílek
chybí hrana	Bloudíčkův	Bloudíček
chybí hrana	Blumrův	Blumer
chybí hrana	Bláhovcův	Bláhovec
