*opuštěná přídavná jména končící na 'ní'
*čtyři skupiny: častější možný předek než slovo, méně častý předek než slovo, dva možní předci, žádný předek nenalezen 
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	mezihraniční
chybí hrana	meziknihovní
chybí hrana	mezikostní
chybí hrana	meziletištní
chybí hrana	mezilodní
chybí hrana	mezimístní
chybí hrana	meziměsíční
chybí hrana	mezinárodní
chybí hrana	mezinárodněobchodní
chybí hrana	mezinárodněprávní
chybí hrana	mezioblastní
chybí hrana	meziokenní
chybí hrana	meziokresní
chybí hrana	meziosní
chybí hrana	meziosobní
chybí hrana	mezipohlavní
chybí hrana	meziporostní
chybí hrana	meziroční
chybí hrana	meziskelní
chybí hrana	mezislovní
chybí hrana	mezistátní
chybí hrana	mezisváteční
chybí hrana	mezitýdenní
chybí hrana	mezitřídní
chybí hrana	mezivrstevní
chybí hrana	mezivědní
chybí hrana	mezizubní
chybí hrana	meziúterní
chybí hrana	mezičtvrtletní
chybí hrana	mezižeberní
chybí hrana	mezosomní
chybí hrana	mnohadenní
chybí hrana	mnohaměsíční
chybí hrana	mnohonárodnostní
chybí hrana	mnohopodlažní
chybí hrana	mnohorychlostní
chybí hrana	morálněprávní
chybí hrana	mozkolebeční
chybí hrana	močopohlavní
chybí hrana	málotřídní
chybí hrana	méněpodlažní
chybí hrana	nadděložní
chybí hrana	nadedveřní
chybí hrana	nadhraniční
chybí hrana	nadkožní
chybí hrana	nadměsíční
chybí hrana	nadobecní
chybí hrana	nadoboční
chybí hrana	nadpřírodní
chybí hrana	nadrezortní
chybí hrana	nadsmluvní
chybí hrana	nadtržní
chybí hrana	nadzástavní
chybí hrana	nadžaberní
chybí hrana	napotomní
chybí hrana	navečerní
chybí hrana	nekalosoutěžní
chybí hrana	nidikolní
chybí hrana	nitrokožní
chybí hrana	nitřní
chybí hrana	nosolícní
chybí hrana	novokolkovní
chybí hrana	novosecesní
chybí hrana	novozákonní
chybí hrana	numinozní
chybí hrana	náchlební
chybí hrana	nádní
chybí hrana	náhrdelní
chybí hrana	náklopní
chybí hrana	náramenní
chybí hrana	národněstátní
chybí hrana	náčelní
chybí hrana	nízkobonitní
chybí hrana	nízkohustotní
chybí hrana	nízkopodlažní
chybí hrana	nízkorychlostní
chybí hrana	nízkostropní
chybí hrana	nízkoteplotní
chybí hrana	několikadenní
chybí hrana	několikaměsíční
chybí hrana	několikanedělní
chybí hrana	několikapodlažní
chybí hrana	několikaroční
chybí hrana	několikatýdenní
chybí hrana	obchodněprovozní
chybí hrana	obchodněprávní
chybí hrana	obchodnězábavní
chybí hrana	obecnoprávní
chybí hrana	obojlícní
chybí hrana	obojpohlavní
chybí hrana	oboulícní
chybí hrana	oboupohlavní
chybí hrana	obouruční
chybí hrana	obsoletní
chybí hrana	občanskoprávní
chybí hrana	občanskosoudní
chybí hrana	občanskosprávní
chybí hrana	odboční
chybí hrana	odosní
chybí hrana	ohenní
chybí hrana	ohlašní
chybí hrana	oposmluvní
chybí hrana	osmadvacetidenní
chybí hrana	osmadvacetiměsíční
chybí hrana	osmapůlměsíční
chybí hrana	osmasedmdesátidenní
chybí hrana	osmatřicetipodlažní
chybí hrana	osmačtyřicetidenní
chybí hrana	osmdesátidenní
chybí hrana	osmiapůlměsíční
chybí hrana	osmiliberní
chybí hrana	osmiměsíční
chybí hrana	osminedělní
chybí hrana	osmipodlažní
chybí hrana	osmiroční
chybí hrana	osmiruční
chybí hrana	osmirychlostní
chybí hrana	osmitýdenní
chybí hrana	osmnáctidenní
chybí hrana	osmnáctiměsíční
chybí hrana	osmnáctipodlažní
chybí hrana	padesátidenní
chybí hrana	padesátidvoutýdenní
chybí hrana	padesátiměsíční
chybí hrana	padesátipodlažní
chybí hrana	patnáctidenní
chybí hrana	patnáctiměsíční
chybí hrana	perakutní
chybí hrana	plněprovozní
chybí hrana	plochodrážní
chybí hrana	plsní
chybí hrana	plstní
chybí hrana	podbradní
chybí hrana	podbřišní
chybí hrana	podděložní
chybí hrana	poddůlní
chybí hrana	podklášterní
chybí hrana	podkostelní
chybí hrana	podocasní
chybí hrana	podokresní
chybí hrana	podpoloviční
chybí hrana	podprostřední
chybí hrana	podprsní
chybí hrana	podpultovní
chybí hrana	podramenní
chybí hrana	podsklepní
chybí hrana	podstvětní
chybí hrana	podtržní
chybí hrana	pohřbetní
chybí hrana	pokřovní
chybí hrana	polhůtní
chybí hrana	pomoravní
chybí hrana	ponedělní
chybí hrana	pozdněvečerní
chybí hrana	pozemkoknižní
chybí hrana	pozemnoknižní
chybí hrana	pracovněprávní
chybí hrana	pravobřežní
chybí hrana	pražskojarní
chybí hrana	procesněprávní
chybí hrana	prostonárodní
chybí hrana	proticírkevní
chybí hrana	protidovozní
chybí hrana	protidrahotní
chybí hrana	protidružstevní
chybí hrana	protihazardní
chybí hrana	protikolizní
chybí hrana	protikorozní
chybí hrana	protilodní
chybí hrana	protimoderní
chybí hrana	protinárodní
chybí hrana	protipolicejní
chybí hrana	protiprávní
chybí hrana	protipěchotní
chybí hrana	protipřírodní
chybí hrana	protismluvní
chybí hrana	protisoutěžní
chybí hrana	protistátoprávní
chybí hrana	protitelevizní
chybí hrana	protitotalitní
chybí hrana	protitržní
chybí hrana	protivládní
chybí hrana	protivolební
chybí hrana	protizemní
chybí hrana	protizápadní
chybí hrana	protiústavní
chybí hrana	první
chybí hrana	prvodivizní
chybí hrana	prvotřídní
chybí hrana	průmyslověprávní
chybí hrana	purkrechtní
chybí hrana	pětapadesátipodlažní
chybí hrana	pětiapůlměsíční
chybí hrana	pětidenní
chybí hrana	pětikaretní
chybí hrana	pětikomoditní
chybí hrana	pětinedělní
chybí hrana	pětisetliberní
chybí hrana	pětitaktní
chybí hrana	pětitýdenní
chybí hrana	pětitřídní
chybí hrana	pětivečerní
chybí hrana	předbřežní
chybí hrana	přední
chybí hrana	předobchodní
chybí hrana	předpostní
chybí hrana	předprocesní
chybí hrana	předsoudní
chybí hrana	předsoutěžní
chybí hrana	předtelevizní
chybí hrana	předtotalitní
chybí hrana	předtřídní
chybí hrana	předuniverzitní
chybí hrana	předvědní
chybí hrana	předzkušenostní
chybí hrana	předústní
chybí hrana	předčelní
chybí hrana	přepravněprávní
chybí hrana	přespolední
chybí hrana	přirozenoprávní
chybí hrana	přídní
chybí hrana	přídomní
chybí hrana	příhlavní
chybí hrana	přípobřežní
chybí hrana	příústní
chybí hrana	rodinněprávní
chybí hrana	rourovodní
chybí hrana	rovnodenní
chybí hrana	rožní
chybí hrana	ručební
chybí hrana	rušební
chybí hrana	různopohlavní
chybí hrana	sebevýstavní
chybí hrana	sedmadvacetipodlažní
chybí hrana	sedmiapůlměsíční
chybí hrana	sedmilodní
chybí hrana	sedminedělní
chybí hrana	sedmiostrovní
chybí hrana	sedmipodlažní
chybí hrana	sedmitýdenní
chybí hrana	sedmitřídní
chybí hrana	sedmivěrtelní
chybí hrana	sedmnidenní
chybí hrana	sedmnáctidenní
chybí hrana	sedmnáctipodlažní
chybí hrana	semihumidní
chybí hrana	severojižní
chybí hrana	simultálnní
chybí hrana	sladkovodní
chybí hrana	slaništní
chybí hrana	směnečněprávní
chybí hrana	somatotropní
chybí hrana	soukromobezpečnostní
